product_id,product_name,category,base_price
1000,ELECTRONICS_ITEM_1000,ELECTRONICS,7500.05
1001,TOYS_ITEM_1001,TOYS,8093.22
1002,HOME_ITEM_1002,HOME,5902.98
1003,CLOTHING_ITEM_1003,CLOTHING,1516.17
1004,GROCERY_ITEM_1004,GROCERY,6333.83
1005,HOME_ITEM_1005,HOME,6311.05
1006,ELECTRONICS_ITEM_1006,ELECTRONICS,9202.49
1007,HOME_ITEM_1007,HOME,4009.84
1008,TOYS_ITEM_1008,TOYS,2427.82
1009,ELECTRONICS_ITEM_1009,ELECTRONICS,4645.06
1010,GROCERY_ITEM_1010,GROCERY,8479.43
1011,TOYS_ITEM_1011,TOYS,9029.47
1012,HOME_ITEM_1012,HOME,9221.32
1013,CLOTHING_ITEM_1013,CLOTHING,6703.11
1014,GROCERY_ITEM_1014,GROCERY,610.96
1015,ELECTRONICS_ITEM_1015,ELECTRONICS,1924.13
1016,CLOTHING_ITEM_1016,CLOTHING,2219.57
1017,GROCERY_ITEM_1017,GROCERY,483.8
1018,GROCERY_ITEM_1018,GROCERY,9000.15
1019,HOME_ITEM_1019,HOME,2156.48
1020,ELECTRONICS_ITEM_1020,ELECTRONICS,3453.96
1021,HOME_ITEM_1021,HOME,6471.62
1022,HOME_ITEM_1022,HOME,9321.68
1023,CLOTHING_ITEM_1023,,2872.68
1024,CLOTHING_ITEM_1024,CLOTHING,5537.71
1025,GROCERY_ITEM_1025,GROCERY,4820.37
1026,TOYS_ITEM_1026,TOYS,6597.8
1027,HOME_ITEM_1027,HOME,6559.51
1028,ELECTRONICS_ITEM_1028,ELECTRONICS,2928.48
1029,HOME_ITEM_1029,HOME,6395.34
1030,ELECTRONICS_ITEM_1030,ELECTRONICS,1878.91
1031,CLOTHING_ITEM_1031,CLOTHING,8209.45
1032,CLOTHING_ITEM_1032,CLOTHING,6502.65
1033,HOME_ITEM_1033,HOME,8563.92
1034,TOYS_ITEM_1034,TOYS,2886.2
1035,GROCERY_ITEM_1035,GROCERY,3375.14
1036,HOME_ITEM_1036,HOME,7361.73
1037,CLOTHING_ITEM_1037,CLOTHING,1254.82
1038,CLOTHING_ITEM_1038,CLOTHING,4976.05
1039,CLOTHING_ITEM_1039,CLOTHING,9730.03
1040,GROCERY_ITEM_1040,GROCERY,8185.38
1041,TOYS_ITEM_1041,TOYS,3696.19
1042,HOME_ITEM_1042,HOME,3989.04
1043,HOME_ITEM_1043,HOME,3621.81
1044,TOYS_ITEM_1044,TOYS,3641.26
1045,TOYS_ITEM_1045,TOYS,4113.46
1046,HOME_ITEM_1046,HOME,175.44
1047,ELECTRONICS_ITEM_1047,ELECTRONICS,7068.12
1048,HOME_ITEM_1048,HOME,7452.36
1049,ELECTRONICS_ITEM_1049,ELECTRONICS,1864.27
1050,HOME_ITEM_1050,HOME,7380.8
1051,TOYS_ITEM_1051,TOYS,2600.06
1052,ELECTRONICS_ITEM_1052,ELECTRONICS,928.34
1053,TOYS_ITEM_1053,TOYS,1639.57
1054,ELECTRONICS_ITEM_1054,ELECTRONICS,3294.37
1055,CLOTHING_ITEM_1055,CLOTHING,3418.19
1056,HOME_ITEM_1056,HOME,9182.2
1057,CLOTHING_ITEM_1057,CLOTHING,8399.83
1058,ELECTRONICS_ITEM_1058,ELECTRONICS,4558.93
1059,ELECTRONICS_ITEM_1059,ELECTRONICS,2337.03
1060,HOME_ITEM_1060,HOME,4161.47
1061,CLOTHING_ITEM_1061,CLOTHING,747.36
1062,ELECTRONICS_ITEM_1062,ELECTRONICS,9360.35
