store_id,store_name,region,country,is_online
1,STORE_1,CENTRAL,UK,1
2,STORE_2,CENTRAL,SG,0
3,STORE_3,CENTRAL,US,1
4,STORE_4,EAST,SG,1
5,STORE_5,NORTH,DE,0
6,STORE_6,SOUTH,DE,1
7,STORE_7,WEST,UK,0
8,STORE_8,EAST,US,0
9,STORE_9,SOUTH,DE,1
10,STORE_10,NORTH,SG,0
11,STORE_11,NORTH,FR,0
12,STORE_12,NORTH,IN,0
13,STORE_13,WEST,US,0
14,STORE_14,SOUTH,UK,1
15,STORE_15,SOUTH,US,1
16,STORE_16,EAST,UK,1
17,STORE_17,NORTH,SG,0
18,STORE_18,CENTRAL,DE,1
19,STORE_19,EAST,IN,1
20,STORE_20,CENTRAL,IN,1
21,STORE_21,EAST,US,1
22,STORE_22,CENTRAL,FR,0
23,STORE_23,SOUTH,UK,1
24,STORE_24,CENTRAL,SG,1
25,STORE_25,CENTRAL,FR,0
26,STORE_26,NORTH,UK,1
27,STORE_27,NORTH,FR,0
28,STORE_28,CENTRAL,IN,0
29,STORE_29,NORTH,DE,1
30,STORE_30,WEST,FR,0
31,STORE_31,,FR,0
32,STORE_32,SOUTH,US,0
33,STORE_33,WEST,DE,0
34,STORE_34,WEST,DE,1
35,STORE_35,NORTH,SG,0
36,STORE_36,NORTH,DE,1
37,STORE_37,NORTH,UK,0
38,STORE_38,WEST,UK,0
39,STORE_39,CENTRAL,IN,0
40,STORE_40,WEST,DE,0
41,STORE_41,NORTH,FR,0
42,STORE_42,WEST,FR,1
43,STORE_43,EAST,IN,0
44,STORE_44,EAST,FR,0
45,STORE_45,NORTH,FR,1
46,STORE_46,EAST,US,1
47,STORE_47,EAST,FR,1
48,STORE_48,,SG,1
49,STORE_49,CENTRAL,US,0
50,STORE_50,NORTH,FR,1
51,STORE_51,WEST,DE,1
52,STORE_52,EAST,FR,0
53,STORE_53,EAST,DE,0
54,STORE_54,SOUTH,DE,0
55,STORE_55,NORTH,DE,1
56,STORE_56,SOUTH,US,0
57,STORE_57,NORTH,FR,1
58,STORE_58,NORTH,SG,0
59,STORE_59,NORTH,DE,0
60,STORE_60,WEST,SG,1
61,STORE_61,SOUTH,US,0
62,STORE_62,EAST,UK,0
63,STORE_63,NORTH,SG,0
64,STORE_64,SOUTH,SG,1
65,STORE_65,WEST,DE,0
66,STORE_66,EAST,IN,0
67,STORE_67,WEST,FR,1
68,STORE_68,EAST,US,1
69,STORE_69,WEST,DE,1
70,STORE_70,NORTH,IN,1
71,STORE_71,SOUTH,UK,1
72,STORE_72,WEST,UK,1
73,STORE_73,NORTH,US,1
74,STORE_74,EAST,UK,1
75,STORE_75,CENTRAL,UK,1
76,STORE_76,CENTRAL,SG,1
77,STORE_77,NORTH,FR,1
78,STORE_78,,UK,0
79,STORE_79,NORTH,SG,1
80,STORE_80,NORTH,SG,0
81,STORE_81,EAST,UK,1
82,STORE_82,EAST,FR,1
83,STORE_83,SOUTH,SG,1
84,STORE_84,SOUTH,IN,1
85,STORE_85,EAST,US,1
86,STORE_86,SOUTH,FR,0
87,STORE_87,WEST,DE,1
88,STORE_88,WEST,DE,1
89,STORE_89,SOUTH,UK,1
90,STORE_90,SOUTH,IN,0
91,STORE_91,NORTH,UK,1
92,STORE_92,CENTRAL,FR,1
93,STORE_93,NORTH,DE,1
94,STORE_94,CENTRAL,IN,0
95,STORE_95,SOUTH,UK,1
96,STORE_96,,DE,1
97,STORE_97,CENTRAL,US,1
98,STORE_98,SOUTH,UK,0
99,STORE_99,CENTRAL,DE,0
100,STORE_100,NORTH,FR,0
101,STORE_101,SOUTH,DE,0
102,STORE_102,WEST,DE,0
103,STORE_103,SOUTH,FR,0
104,STORE_104,EAST,US,1
105,STORE_105,NORTH,IN,1
106,STORE_106,WEST,US,1
107,STORE_107,EAST,UK,0
108,STORE_108,SOUTH,US,1
109,STORE_109,NORTH,US,1
110,STORE_110,EAST,US,1
111,STORE_111,NORTH,IN,0
112,STORE_112,SOUTH,US,0
113,STORE_113,NORTH,IN,0
114,STORE_114,EAST,SG,0
115,STORE_115,NORTH,UK,1
116,STORE_116,WEST,SG,1
117,STORE_117,NORTH,DE,0
118,STORE_118,CENTRAL,SG,1
119,STORE_119,SOUTH,US,0
120,STORE_120,NORTH,UK,1
121,STORE_121,EAST,SG,0
122,STORE_122,EAST,DE,0
123,STORE_123,CENTRAL,DE,1
124,STORE_124,SOUTH,SG,0
125,STORE_125,,UK,0
126,STORE_126,SOUTH,DE,1
127,STORE_127,CENTRAL,US,0
128,STORE_128,,US,1
129,STORE_129,EAST,UK,1
130,STORE_130,NORTH,DE,1
131,STORE_131,SOUTH,SG,0
132,STORE_132,NORTH,US,0
133,STORE_133,SOUTH,IN,1
134,STORE_134,CENTRAL,SG,0
135,STORE_135,WEST,IN,0
136,STORE_136,CENTRAL,US,0
137,STORE_137,EAST,UK,1
138,STORE_138,EAST,SG,0
139,STORE_139,SOUTH,UK,0
140,STORE_140,SOUTH,IN,0
141,STORE_141,SOUTH,UK,0
142,STORE_142,NORTH,DE,0
143,STORE_143,CENTRAL,UK,1
144,STORE_144,EAST,SG,1
145,STORE_145,WEST,DE,1
146,STORE_146,CENTRAL,SG,1
147,STORE_147,SOUTH,UK,0
148,STORE_148,WEST,DE,0
149,STORE_149,NORTH,DE,0
150,STORE_150,,IN,0
151,STORE_151,EAST,UK,1
152,STORE_152,EAST,IN,1
153,STORE_153,EAST,DE,1
154,STORE_154,CENTRAL,SG,0
155,STORE_155,SOUTH,IN,0
156,STORE_156,SOUTH,US,1
157,STORE_157,SOUTH,US,0
158,STORE_158,WEST,IN,1
159,STORE_159,WEST,UK,0
160,STORE_160,SOUTH,SG,0
161,STORE_161,EAST,IN,1
162,STORE_162,SOUTH,IN,0
163,STORE_163,NORTH,UK,0
164,STORE_164,CENTRAL,US,1
165,STORE_165,,FR,0
166,STORE_166,NORTH,DE,1
167,STORE_167,WEST,SG,1
168,STORE_168,SOUTH,IN,0
169,STORE_169,NORTH,DE,0
170,STORE_170,NORTH,IN,0
171,STORE_171,NORTH,FR,0
172,STORE_172,NORTH,SG,1
173,STORE_173,WEST,IN,0
174,STORE_174,EAST,US,0
175,STORE_175,EAST,FR,1
176,STORE_176,WEST,DE,1
177,STORE_177,EAST,IN,0
178,STORE_178,SOUTH,FR,1
179,STORE_179,SOUTH,DE,0
180,STORE_180,SOUTH,DE,0
181,STORE_181,CENTRAL,US,0
182,STORE_182,SOUTH,UK,0
183,STORE_183,SOUTH,UK,1
184,STORE_184,CENTRAL,FR,0
185,STORE_185,WEST,DE,1
186,STORE_186,EAST,DE,1
187,STORE_187,WEST,UK,1
188,STORE_188,SOUTH,FR,1
189,STORE_189,CENTRAL,US,0
190,STORE_190,EAST,DE,0
191,STORE_191,NORTH,US,1
192,STORE_192,EAST,SG,0
193,STORE_193,EAST,DE,1
194,STORE_194,CENTRAL,SG,0
195,STORE_195,NORTH,DE,0
196,STORE_196,CENTRAL,UK,1
197,STORE_197,CENTRAL,SG,0
198,STORE_198,CENTRAL,US,0
199,STORE_199,SOUTH,US,1
200,STORE_200,EAST,SG,1
201,STORE_201,EAST,DE,1
202,STORE_202,CENTRAL,UK,1
203,STORE_203,WEST,FR,1
204,STORE_204,EAST,UK,0
205,STORE_205,EAST,US,0
206,STORE_206,EAST,DE,0
207,STORE_207,CENTRAL,SG,0
208,STORE_208,EAST,US,1
209,STORE_209,NORTH,DE,0
210,STORE_210,SOUTH,US,0
211,STORE_211,EAST,US,0
212,STORE_212,WEST,DE,1
213,STORE_213,WEST,IN,0
214,STORE_214,SOUTH,SG,1
215,STORE_215,EAST,UK,1
216,STORE_216,SOUTH,UK,0
217,STORE_217,SOUTH,DE,0
218,STORE_218,NORTH,DE,1
219,STORE_219,WEST,SG,0
220,STORE_220,NORTH,FR,1
221,STORE_221,CENTRAL,IN,0
222,STORE_222,CENTRAL,FR,0
223,STORE_223,EAST,DE,1
224,STORE_224,SOUTH,IN,1
225,STORE_225,EAST,US,0
226,STORE_226,CENTRAL,IN,0
227,STORE_227,CENTRAL,US,0
228,STORE_228,CENTRAL,SG,0
229,STORE_229,EAST,IN,1
230,STORE_230,SOUTH,FR,1
231,STORE_231,CENTRAL,SG,1
232,STORE_232,EAST,IN,1
233,STORE_233,NORTH,DE,0
234,STORE_234,EAST,IN,0
235,STORE_235,EAST,DE,0
236,STORE_236,WEST,FR,1
237,STORE_237,WEST,SG,1
238,STORE_238,SOUTH,IN,1
239,STORE_239,WEST,US,1
240,STORE_240,SOUTH,UK,0
241,STORE_241,CENTRAL,IN,1
242,STORE_242,EAST,UK,1
243,STORE_243,EAST,IN,1
244,STORE_244,CENTRAL,FR,1
245,STORE_245,,US,0
246,STORE_246,NORTH,UK,1
247,STORE_247,WEST,SG,0
248,STORE_248,SOUTH,FR,1
249,STORE_249,EAST,UK,1
250,STORE_250,EAST,IN,0
251,STORE_251,SOUTH,SG,0
252,STORE_252,SOUTH,IN,1
253,STORE_253,CENTRAL,IN,0
254,STORE_254,NORTH,US,0
255,STORE_255,EAST,FR,0
256,STORE_256,NORTH,FR,0
257,STORE_257,NORTH,FR,0
258,STORE_258,SOUTH,US,0
259,STORE_259,SOUTH,SG,1
260,STORE_260,NORTH,DE,1
261,STORE_261,WEST,FR,1
262,STORE_262,NORTH,SG,1
263,STORE_263,CENTRAL,US,0
264,STORE_264,CENTRAL,US,1
265,STORE_265,WEST,DE,1
266,STORE_266,NORTH,SG,0
267,STORE_267,NORTH,FR,1
268,STORE_268,WEST,US,1
269,STORE_269,EAST,FR,1
270,STORE_270,SOUTH,UK,1
271,STORE_271,CENTRAL,IN,0
272,STORE_272,,IN,0
273,STORE_273,EAST,UK,0
274,STORE_274,NORTH,IN,0
275,STORE_275,EAST,US,1
276,STORE_276,SOUTH,DE,1
277,STORE_277,WEST,DE,0
278,STORE_278,WEST,IN,1
279,STORE_279,WEST,SG,1
280,STORE_280,WEST,UK,1
281,STORE_281,NORTH,US,0
282,STORE_282,EAST,FR,0
283,STORE_283,SOUTH,IN,0
284,STORE_284,CENTRAL,SG,1
285,STORE_285,EAST,SG,1
286,STORE_286,SOUTH,IN,1
